-0.0234985,-0.00488281,
-0.0289917,-0.00610352,
-0.032959,-0.00732422,
-0.0350952,-0.00640869,
-0.0350952,-0.00427246,
-0.0308228,-0.00396729,
-0.0247192,-0.00335693,
-0.0247192,-0.00457764,
-0.0341797,-0.00396729,
-0.0439453,-0.00457764,
-0.0460815,-0.00732422,
-0.0418091,-0.0112915,
-0.0341797,-0.0152588,
-0.0253296,-0.0186157,
-0.0213623,-0.017395,
-0.0189209,-0.0128174,
-0.0161743,-0.0100708,
-0.0125122,-0.0106812,
-0.0100708,-0.0088501,
-0.00518799,-0.00762939,
0.00244141,-0.00579834,
0.0100708,-0.000915527,
0.0158691,0.00457764,
0.0189209,0.00762939,
0.0189209,0.0088501,
0.020752,0.00823975,
0.0216675,0.00854492,
0.0222778,0.00946045,
0.0216675,0.00946045,
0.0213623,0.00946045,
0.020752,0.0109863,
0.0192261,0.0109863,
0.0180054,0.00976563,
0.0161743,0.00915527,
0.015564,0.00762939,
0.0146484,0.00610352,
0.0134277,0.00610352,
0.0137329,0.00640869,
0.0152588,0.00671387,
0.015564,0.00762939,
0.0140381,0.00579834,
0.0146484,0.00518799,
0.0131226,0.00793457,
0.0109863,0.0109863,
0.0109863,0.0119019,
0.0115967,0.012207,
0.0100708,0.0115967,
0.00854492,0.00946045,
0.00732422,0.00488281,
0.00701904,0.00396729,
0.00549316,0.000305176,
0.00396729,-0.00152588,
0.00427246,-0.00274658,
0.00976563,-0.00488281,
0.0109863,-0.00823975,
0.0115967,-0.00946045,
0.0106812,-0.012207,
0.00762939,-0.0137329,
0.0012207,-0.0152588,
-0.00518799,-0.0195313,
0.00183105,-0.022583,
0.015564,-0.0241089,
0.0164795,-0.0259399,
0.012207,-0.0238037,
0.00579834,-0.0189209,
-0.00396729,-0.0143433,
-0.0183105,-0.00671387,
-0.0302124,-0.00152588,
-0.0369263,0.00213623,
-0.0494385,0.00366211,
-0.0588989,0.00518799,
-0.0665283,0.00518799,
-0.0622559,0.00701904,
-0.0546265,0.00671387,
-0.0393677,0.00762939,
-0.0244141,0.00671387,
-0.0231934,0.00610352,
-0.0158691,0.00732422,
-0.00610352,0.00915527,
0.00305176,0.00854492,
0.00946045,0.00732422,
0.010376,0.00549316,
0.00854492,0.00488281,
0.00640869,0.00427246,
0.00518799,0.00427246,
0.00488281,0.00427246,
0.00732422,0.00488281,
0.00732422,0.00549316,
0.00549316,0.00671387,
0.00396729,0.00762939,
0.00427246,0.00579834,
0.00427246,0.00335693,
0.00640869,0.00244141,
0.0109863,0.00335693,
0.0137329,0.00305176,
0.0167847,0.00152588,
0.0231934,0.00152588,
0.0311279,0,
0.0302124,-0.00244141,
0.0234985,-0.00427246,
0.0152588,-0.00335693,
0.00854492,-0.00427246,
0.00671387,-0.00488281,
0.0119019,-0.00457764,
0.015564,-0.00427246,
0.0158691,-0.00396729,
0.0128174,-0.00305176,
0.00823975,-0.00366211,
0.00518799,-0.00488281,
-0.0012207,-0.00488281,
-0.00732422,-0.00366211,
-0.0109863,-0.00244141,
-0.0140381,-0.0012207,
-0.0140381,-0.000305176,
-0.0131226,0.000305176,
-0.0137329,0.000915527,
-0.0152588,0.00152588,
-0.0152588,0.00244141,
-0.0146484,0.00335693,
-0.0152588,0.00213623,
-0.0201416,0.000915527,
-0.0204468,0.000305176,
-0.0195313,-0.0012207,
-0.0216675,-0.000915527,
-0.0213623,-0.00183105,
-0.0158691,-0.00274658,
-0.0106812,-0.00274658,
-0.00701904,-0.00213623,
-0.00152588,-0.00274658,
0.00213623,-0.00244141,
0.00244141,-0.00305176,
0.00213623,-0.00305176,
0.00274658,-0.00366211,
0.0012207,-0.00457764,
-0.0012207,-0.00549316,
-0.00183105,-0.00427246,
-0.000610352,-0.00457764,
-0.00152588,-0.00457764,
-0.0012207,-0.00274658,
-0.000610352,-0.00366211,
-0.00152588,-0.00274658,
0,-0.00152588,
0.00152588,0.00244141,
0.00488281,0.00518799,
0.00640869,0.00640869,
0.00854492,0.00640869,
0.0100708,0.00640869,
0.0106812,0.00457764,
0.00946045,0.00244141,
0.0100708,0.000610352,
0.0088501,-0.0012207,
0.00640869,-0.00305176,
0.00610352,-0.00335693,
0.00549316,-0.00335693,
0.00640869,-0.00213623,
0.00823975,-0.000915527,
0.00976563,0.0012207,
0.0119019,0.00183105,
0.0125122,0.00335693,
0.0137329,0.00274658,
0.0152588,0.00427246,
0.015564,0.00549316,
0.0140381,0.00640869,
0.0125122,0.00396729,
0.00976563,0.00244141,
0.00732422,0.000610352,
0.00335693,-0.000915527,
0,0.000305176,
-0.00274658,-0.00152588,
-0.00335693,0.000610352,
-0.00427246,0.00152588,
-0.00366211,0.00183105,
-0.00213623,0.00244141,
-0.00183105,0.00335693,
-0.00152588,0.00305176,
-0.0012207,0.00152588,
-0.00152588,-0.00152588,
-0.000915527,-0.00244141,
0.000915527,-0.00244141,
0.000915527,-0.00274658,
0.000610352,-0.00396729,
0.00152588,-0.00305176,
0.00213623,-0.00396729,
0,-0.00488281,
-0.00213623,-0.00396729,
-0.00274658,-0.00244141,
-0.00427246,-0.00152588,
-0.00579834,-0.0012207,
-0.00640869,0,
-0.00488281,-0.00152588,
-0.00183105,-0.000915527,
-0.000305176,-0.00152588,
-0.00213623,-0.00183105,
-0.00305176,-0.0012207,
-0.00183105,-0.000610352,
-0.00213623,-0.00152588,
-0.00305176,-0.00152588,
-0.00427246,-0.00366211,
-0.00518799,-0.00366211,
-0.00732422,-0.00396729,
-0.00854492,-0.00305176,
-0.00976563,-0.00335693,
-0.0119019,-0.00274658,
-0.0143433,-0.00396729,
-0.0167847,-0.00488281,
-0.017395,-0.00518799,
-0.0161743,-0.00518799,
-0.0140381,-0.00396729,
-0.0112915,-0.00518799,
-0.0100708,-0.00488281,
-0.00823975,-0.00518799,
-0.00823975,-0.00518799,
-0.00671387,-0.00488281,
-0.00366211,-0.00183105,
-0.0012207,0.000915527,
-0.000915527,0.00213623,
-0.00152588,0.000915527,
-0.00244141,0.000915527,
-0.00366211,0.00183105,
-0.00396729,0.00213623,
-0.00427246,0.00183105,
-0.00366211,0.000915527,
-0.0012207,0.000305176,
0,0.000915527,
0.00183105,0.00244141,
0.00152588,0.00274658,
0.00366211,0.00305176,
0.00366211,0.00366211,
0.00549316,0.00244141,
0.00762939,0.00305176,
0.0088501,0.00274658,
0.0112915,0.00366211,
0.00976563,0.00518799,
0.00762939,0.00488281,
0.00671387,0.00427246,
0.00610352,0.00305176,
0.00640869,0.00427246,
0.00549316,0.00427246,
0.00518799,0.00366211,
0.00549316,0.00366211,
0.00610352,0.00366211,
0.00640869,0.00213623,
0.00671387,0.000305176,
0.00640869,-0.00152588,
0.00457764,-0.00152588,
0.00213623,-0.00305176,
-0.000305176,-0.00305176,
-0.00305176,-0.00396729,
-0.00579834,-0.00366211,
-0.00915527,-0.00427246,
-0.00732422,-0.00366211,
-0.00732422,-0.00274658,
-0.00457764,-0.00335693,
0.000610352,-0.00274658,
0.00305176,-0.00152588,
0.00366211,-0.0012207,
0.00427246,-0.00396729,
0.00396729,-0.00427246,
0.00213623,-0.00640869,
-0.0012207,-0.00488281,
-0.00610352,-0.00610352,
-0.00946045,-0.00518799,
-0.0161743,-0.00457764,
-0.0180054,-0.00244141,
-0.0192261,0,
-0.0192261,0.000915527,
-0.0167847,0.00213623,
-0.0131226,0.00305176,
-0.00854492,0.00305176,
-0.00366211,0.00244141,
-0.00152588,0.00213623,
0.000915527,0.00152588,
0.00335693,0.0012207,
0.00427246,0,
0.00610352,0,
0.00915527,-0.0012207,
0.0112915,0,
0.0106812,0.000305176,
0.00854492,0,
0.00701904,-0.000305176,
0.00518799,0.000305176,
0.00610352,0.000915527,
0.00579834,0.000915527,
0.00671387,0.0012207,
0.00610352,0.000915527,
0.00518799,0.000610352,
0.00305176,-0.000305176,
0.00244141,0.000305176,
0.00213623,0.000305176,
0.000305176,0,
0,-0.000915527,
-0.0012207,-0.000610352,
-0.00152588,-0.00152588,
-0.00213623,-0.00335693,
-0.00244141,-0.00335693,
-0.00213623,-0.00396729,
-0.00152588,-0.00732422,
-0.00305176,-0.0088501,
-0.00305176,-0.0100708,
-0.00366211,-0.00915527,
-0.00427246,-0.00946045,
-0.00457764,-0.00732422,
-0.00366211,-0.00671387,
-0.00335693,-0.00335693,
-0.00244141,-0.00152588,
-0.000610352,0.00152588,
0.0012207,0.00610352,
0.00183105,0.00518799,
0.00152588,0.00488281,
0.00183105,0.00427246,
0.00213623,0.00366211,
0.00152588,0.00305176,
0.00396729,0.00274658,
0.00457764,0.00274658,
0.00549316,0.00396729,
0.00366211,0.00457764,
0.00427246,0.00549316,
0.00396729,0.00640869,
0.00427246,0.00518799,
0.00579834,0.00305176,
0.00488281,0.00335693,
0.00335693,0.00244141,
0.00244141,0.00213623,
0.0012207,0.00183105,
0.000915527,0.00152588,
0,0.00274658,
0.00183105,0.00274658,
0.0012207,0.00335693,
0.0012207,0.00244141,
0.000915527,0.00335693,
-0.000305176,0.00183105,
0,0.000610352,
-0.000610352,-0.000305176,
-0.00213623,0,
-0.000610352,-0.00183105,
-0.00183105,-0.00183105,
-0.00335693,-0.00305176,
-0.00305176,-0.00488281,
-0.00305176,-0.00640869,
-0.00274658,-0.00701904,
-0.00366211,-0.00915527,
-0.00396729,-0.00946045,
-0.00488281,-0.00946045,
-0.00488281,-0.0088501,
-0.00488281,-0.00823975,
-0.00579834,-0.00732422,
-0.00396729,-0.00701904,
-0.00488281,-0.00427246,
-0.00488281,-0.00274658,
-0.00366211,-0.000915527,
-0.00457764,0.0012207,
-0.00335693,0.00152588,
-0.00274658,0.00183105,
-0.00183105,0.00244141,
-0.000610352,0.000610352,
-0.000610352,-0.0012207,
-0.000305176,-0.0012207,
0.000915527,-0.000305176,
0.000305176,0,
0.00152588,-0.0012207,
0.00152588,-0.00244141,
0.000915527,-0.00244141,
0.000915527,-0.0012207,
0.000305176,-0.00183105,
-0.000915527,-0.000610352,
-0.000915527,0.0012207,
-0.0012207,0.00640869,
-0.00213623,0.00946045,
-0.00183105,0.0100708,
-0.00274658,0.010376,
-0.00305176,0.010376,
-0.00274658,0.010376,
-0.00305176,0.00732422,
-0.00213623,0.00457764,
0.000915527,0.00305176,
0.000610352,-0.000305176,
0.000305176,0.000610352,
0.0012207,0.00183105,
0.000610352,-0.000305176,
0.000915527,-0.00366211,
0.00152588,-0.00671387,
0.00244141,-0.00762939,
0.00183105,-0.00762939,
0.00183105,-0.0088501,
0.00244141,-0.0125122,
0.00244141,-0.017395,
0.00213623,-0.0204468,
0.00183105,-0.0228882,
0.00152588,-0.0228882,
0.0012207,-0.0231934,
0.0012207,-0.0161743,
0.000915527,-0.0106812,
0.00213623,-0.00793457,
0.00183105,-0.00762939,
0.00305176,-0.00579834,
0.000305176,-0.00305176,
0.00152588,0.000915527,
-0.00152588,0.00549316,
-0.00183105,0.0088501,
-0.0012207,0.00793457,
-0.00244141,0.00762939,
-0.00183105,0.00762939,
-0.00152588,0.00762939,
-0.00183105,0.0088501,
-0.00244141,0.00732422,
-0.00366211,0.00915527,
-0.000915527,0.0109863,
-0.000305176,0.0112915,
0.00152588,0.0109863,
0.00152588,0.0125122,
0.00183105,0.0140381,
0.00274658,0.0161743,
0.00213623,0.0180054,
0.00366211,0.0216675,
0.00457764,0.027771,
0.00427246,0.0344849,
0.00457764,0.045166,
0.00335693,0.0521851,
0.00152588,0.0546265,
0.000610352,0.0482178,
-0.000305176,0.0402832,
-0.00396729,0.0335693,
-0.00488281,0.0271606,
-0.00640869,0.0213623,
-0.00793457,0.017395,
-0.00915527,0.0140381,
-0.0100708,0.00732422,
-0.0088501,-0.000305176,
-0.00732422,-0.0088501,
-0.00488281,-0.020752,
-0.00244141,-0.0405884,
-0.000915527,-0.0595093,
0.00152588,-0.065918,
0.000610352,-0.072937,
0,-0.0814819,
0.000915527,-0.0909424,
0.00274658,-0.0997925,
0.00244141,-0.101624,
0.00152588,-0.0973511,
0.0012207,-0.078125,
0.00183105,-0.0524902,
0.00366211,-0.0311279,
0.00457764,-0.0189209,
0.00457764,-0.0106812,
0.00427246,-0.00732422,
0.00457764,-0.00671387,
0.00427246,-0.00640869,
0.00335693,-0.00823975,
0.00213623,-0.00854492,
0.000610352,-0.00396729,
-0.00213623,0.00793457,
-0.00305176,0.020752,
-0.00274658,0.0299072,
-0.00274658,0.0335693,
-0.00274658,0.0369263,
-0.00457764,0.0415039,
-0.00579834,0.0408936,
-0.00854492,0.0390625,
-0.0112915,0.0360107,
-0.0125122,0.0332642,
-0.0112915,0.0320435,
-0.00946045,0.0289917,
-0.00976563,0.0253296,
-0.00579834,0.0244141,
-0.00335693,0.0238037,
-0.000915527,0.0238037,
0.00152588,0.0253296,
0.00244141,0.0256348,
0.000915527,0.0228882,
0.000610352,0.0180054,
0.00183105,0.0161743,
0.00213623,0.0140381,
0.00396729,0.0131226,
0.00396729,0.010376,
0.00305176,0.0088501,
0.00305176,0.00579834,
0.00305176,0.00427246,
0.00579834,0.00152588,
0.00518799,-0.000305176,
0.00427246,-0.000610352,
0.00305176,-0.000610352,
0.00274658,-0.00335693,
0.00213623,-0.00396729,
0.0012207,-0.00579834,
0.00152588,-0.00701904,
0.00152588,-0.00762939,
0.00183105,-0.00732422,
0.00244141,-0.00701904,
0.00152588,-0.00946045,
0,-0.00854492,
-0.000610352,-0.0088501,
0,-0.010376,
0.000305176,-0.010376,
-0.000915527,-0.0115967,
-0.00183105,-0.00976563,
-0.00152588,-0.00946045,
-0.00305176,-0.00976563,
-0.00244141,-0.00976563,
-0.00213623,-0.00823975,
-0.000915527,-0.00671387,
-0.00183105,-0.00610352,
-0.000610352,-0.00701904,
-0.00213623,-0.00732422,
-0.00244141,-0.00701904,
-0.00244141,-0.00732422,
-0.00305176,-0.00823975,
-0.00335693,-0.00762939,
-0.00427246,-0.00823975,
-0.00610352,-0.00854492,
-0.00640869,-0.0088501,
-0.00488281,-0.00915527,
-0.00488281,-0.0088501,
-0.00488281,-0.0088501,
-0.00488281,-0.00762939,
-0.00610352,-0.00640869,
-0.00549316,-0.00305176,
-0.00518799,-0.000915527,
-0.00396729,0.000305176,
-0.00152588,0.00244141,
0.000915527,0.00457764,
0.00457764,0.00610352,
0.00488281,0.00579834,
0.00366211,0.00549316,
0.00305176,0.00366211,
0.00274658,0.00305176,
0.00183105,0.000305176,
0.00183105,0.000610352,
0.00213623,-0.000610352,
0.00305176,0.000915527,
0.00457764,0.000915527,
0.00579834,-0.000305176,
0.00732422,0.000610352,
0.00915527,0.0012207,
0.00946045,0.00213623,
0.0109863,0.00305176,
0.0128174,0.00396729,
0.0128174,0.00396729,
0.0112915,0.00427246,
0.00915527,0.00488281,
0.0088501,0.00366211,
0.00732422,0.00305176,
0.00671387,0.00213623,
0.00427246,0.000915527,
0.00183105,0.000915527,
0,-0.000610352,
-0.00183105,-0.000610352,
-0.00427246,-0.0012207,
-0.00518799,-0.00152588,
-0.00610352,-0.00183105,
-0.00671387,-0.000915527,
-0.00762939,0.000305176,
-0.00732422,-0.000915527,
-0.00793457,-0.00213623,
-0.00701904,-0.00244141,
-0.00518799,-0.00305176,
-0.00427246,-0.00213623,
-0.00427246,-0.00274658,
-0.00335693,-0.00152588,
-0.00335693,-0.00213623,
-0.00366211,-0.00488281,
-0.00305176,0.00366211,
-0.00305176,0.00305176,
-0.00213623,0.000610352,
-0.00244141,-0.00244141,
-0.00305176,-0.00549316,
-0.00396729,-0.00457764,
-0.00518799,-0.00457764,
-0.00427246,-0.00518799,
-0.00366211,-0.00457764,
-0.00488281,-0.00549316,
-0.00457764,-0.00518799,
-0.00427246,-0.00457764,
-0.00335693,-0.00549316,
-0.00396729,-0.00549316,
-0.00427246,-0.00427246,
-0.00335693,-0.00152588,
-0.00152588,0.000915527,
-0.00183105,0.00366211,
-0.0012207,0.00549316,
-0.00274658,0.00610352,
-0.000610352,0.00762939,
-0.00213623,0.00793457,
-0.00152588,0.00762939,
-0.00183105,0.00427246,
-0.000915527,0.00274658,
0.00183105,0.000915527,
0.00183105,0.000915527,
0.00213623,0.00244141,
0.00274658,0.00457764,
0.00335693,0.00610352,
0.00427246,0.00946045,
0.00549316,0.0109863,
0.00488281,0.0131226,
0.00183105,0.015564,
-0.00183105,0.0177002,
-0.00213623,0.0177002,
-0.0012207,0.0170898,
-0.000305176,0.0167847,
0.0012207,0.0170898,
0.00488281,0.0183105,
0.00762939,0.0177002,
0.00854492,0.0146484,
0.00610352,0.0134277,
0.00732422,0.0115967,
0.00854492,0.0088501,
0.00762939,0.00640869,
0.00976563,0.00427246,
0.0119019,0.00152588,
0.0128174,0,
0.0140381,-0.00213623,
0.0158691,-0.00183105,
0.0140381,-0.00244141,
0.0112915,-0.00335693,
0.00793457,-0.0088501,
0.00488281,-0.0119019,
-0.00366211,-0.0106812,
-0.0167847,-0.012207,
-0.0296021,-0.00976563,
-0.0396729,-0.00915527,
-0.0494385,-0.012207,
-0.0585938,-0.00976563,
-0.06073,-0.00549316,
-0.0549316,-0.00305176,
-0.043335,-0.00823975,
-0.0283813,-0.00976563,
-0.0152588,-0.0100708,
-0.00396729,-0.00823975,
0.00366211,-0.0100708,
0.00701904,-0.0106812,
0.00518799,-0.00915527,
0.00549316,-0.010376,
0.00579834,-0.0088501,
0.00732422,-0.00823975,
0.00976563,-0.00640869,
0.0119019,-0.00640869,
0.0109863,-0.00732422,
0.0125122,-0.00579834,
0.0134277,-0.00488281,
0.0143433,-0.00549316,
0.0146484,-0.00610352,
0.0134277,-0.00732422,
0.0119019,-0.00946045,
0.0109863,-0.0109863,
0.0128174,-0.0125122,
0.0128174,-0.0119019,
0.0100708,-0.0128174,
0.00549316,-0.0119019,
0.00244141,-0.0106812,
0.00183105,-0.0088501,
0.00183105,-0.00701904,
0.00183105,-0.00518799,
0.00244141,-0.00488281,
0.00335693,-0.00305176,
0.00396729,0,
0.00732422,0.00274658,
0.00488281,0.00549316,
0.00305176,0.00549316,
0.00183105,0.00579834,
0.00335693,0.00823975,
0.00152588,0.00915527,
-0.00213623,0.00915527,
-0.00274658,0.00823975,
-0.00610352,0.00854492,
-0.00793457,0.00823975,
-0.010376,0.00762939,
-0.00946045,0.00549316,
-0.00732422,0.00335693,
-0.00518799,0.00183105,
-0.00366211,-0.000305176,
-0.00274658,0.000305176,
-0.00183105,0,
0.000915527,0.000610352,
0.00213623,-0.000305176,
0.00305176,0.000305176,
0.00396729,-0.00152588,
0.00427246,-0.00427246,
0.00488281,-0.00549316,
0.00549316,-0.00396729,
0.00488281,-0.00274658,
0.00640869,-0.00274658,
0.00732422,-0.00366211,
0.00701904,-0.00549316,
0.00518799,-0.00976563,
0.00244141,-0.0115967,
-0.000610352,-0.0119019,
-0.00305176,-0.0137329,
-0.00366211,-0.0146484,
-0.00244141,-0.012207,
-0.00244141,-0.00976563,
-0.00183105,-0.00732422,
-0.000305176,-0.00457764,
0.000305176,-0.00488281,
-0.000305176,-0.00640869,
0.0012207,-0.00305176,
0.000610352,0,
0.000610352,0.00335693,
-0.0012207,0.00335693,
-0.00396729,0.00549316,
-0.00457764,0.00762939,
-0.00427246,0.00701904,
-0.00457764,0.00701904,
-0.00213623,0.00640869,
0.00152588,0.0100708,
0.00427246,0.00610352,
0.00396729,0.010376,
0.000610352,0.0119019,
-0.00274658,0.00701904,
-0.00518799,0.00457764,
-0.00457764,0.0112915,
-0.00213623,0.012207,
-0.000305176,0.00946045,
0.0012207,0.00610352,
0.00152588,0.00335693,
0.00640869,0.00549316,
0.00823975,0.00244141,
0.00946045,0.000915527,
0.00579834,0.000305176,
0.00213623,-0.000610352,
0.0012207,0,
0.00183105,-0.000305176,
-0.00244141,-0.00518799,
-0.00213623,-0.00671387,
0.0012207,-0.00701904,
0.00640869,-0.00549316,
0.00671387,-0.00305176,
0.00274658,0.000915527,
0.0012207,0.000610352,
-0.00183105,0.00305176,
-0.00274658,0.00244141,
-0.00305176,-0.00183105,
-0.00457764,-0.00823975,
-0.00701904,-0.0128174,
-0.0131226,-0.015564,
-0.0167847,-0.0146484,
-0.017395,-0.0125122,
-0.015564,-0.0137329,
-0.0195313,-0.0115967,
-0.0268555,-0.00976563,
-0.0357056,-0.00274658,
-0.0387573,0.00183105,
-0.0384521,0.00213623,
-0.0384521,0.00366211,
-0.0396729,0.00671387,
-0.0338745,0.00793457,
-0.0219727,0.00762939,
-0.00793457,0.00579834,
0.000610352,0.00579834,
0.00762939,0.00701904,
0.0137329,0.00793457,
0.0164795,0.0088501,
0.0192261,0.00823975,
0.0204468,0.00732422,
0.0228882,0.00579834,
0.0219727,0.00213623,
0.0180054,0.00183105,
0.0109863,0.00183105,
0.00518799,0.00335693,
0,0.00396729,
0.0106812,0.00457764,
0.0195313,0.00518799,
0.0219727,0.00457764,
0.0216675,0.00488281,
0.020752,0.00427246,
0.0228882,0.00183105,
0.020752,0,
0.0164795,0.000915527,
0.0134277,0.00183105,
0.00946045,0.00244141,
0.00579834,0.00213623,
0.00274658,0.00244141,
0.000915527,0.00427246,
0,0.00549316,
0,0.0088501,
-0.000610352,0.00854492,
-0.00152588,0.00762939,
-0.00762939,0.00793457,
-0.0106812,0.00701904,
-0.012207,0.00579834,
-0.0115967,0.00549316,
-0.00701904,0.00549316,
-0.00335693,0.00732422,
-0.000305176,0.00732422,
0.000610352,0.00457764,
0.00213623,0.00274658,
0.00396729,0.000915527,
0.00457764,0.000305176,
0.00488281,-0.000915527,
0.00213623,-0.00335693,
0.00152588,-0.00549316,
0.00183105,-0.00640869,
0.00488281,-0.00671387,
0.00610352,-0.00823975,
0.00579834,-0.00793457,
0.00854492,-0.00854492,
0.00701904,-0.00854492,
0.00701904,-0.00823975,
0.00793457,-0.00823975,
0.0115967,-0.00518799,
0.0100708,-0.00305176,
0.0088501,-0.00183105,
0.00549316,-0.00213623,
0,-0.00183105,
-0.00183105,-0.00274658,
-0.00305176,-0.00244141,
-0.00274658,-0.00305176,
-0.00274658,-0.00427246,
-0.00183105,-0.00335693,
-0.00244141,-0.00457764,
-0.00396729,-0.00396729,
-0.00640869,-0.00427246,
-0.00549316,-0.00305176,
-0.00396729,-0.00427246,
0.0131226,-0.00274658,
0.0308228,-0.00274658,
0.0292969,-0.00213623,
0.0192261,-0.00274658,
0.00976563,-0.00396729,
-0.00274658,-0.00396729,
-0.015564,-0.00335693,
-0.0250244,-0.00305176,
-0.0292969,-0.00274658,
-0.0369263,0.000305176,
-0.0424194,0.000610352,
-0.0454712,0,
-0.0387573,-0.0012207,
-0.0308228,-0.00152588,
-0.0204468,-0.000610352,
-0.0143433,0.000610352,
-0.0164795,0.000610352,
-0.0247192,0.000915527,
-0.0198364,0,
-0.012207,0.000610352,
-0.00396729,0.000305176,
0.00579834,-0.000305176,
0.012207,-0.00152588,
0.0152588,-0.00366211,
0.0186157,-0.00701904,
0.0192261,-0.0088501,
0.0183105,-0.0112915,
0.0186157,-0.0112915,
0.0158691,-0.00976563,
0.0115967,-0.010376,
0.010376,-0.00946045,
0.0115967,-0.00732422,
0.0134277,-0.00701904,
0.0140381,-0.00610352,
0.0152588,-0.00396729,
0.0152588,-0.00183105,
0.0170898,-0.00183105,
0.0164795,-0.000915527,
0.0125122,0.000915527,
0.00793457,0.00213623,
0.00244141,0.00244141,
-0.0012207,0.00396729,
-0.00396729,0.00396729,
-0.00549316,0.00457764,
-0.00671387,0.00549316,
-0.00701904,0.00518799,
-0.00732422,0.00518799,
-0.00579834,0.00366211,
-0.00335693,0.00305176,
0,0.00244141,
0,0.00305176,
-0.00274658,0.00213623,
-0.00640869,0,
-0.00946045,-0.0012207,
-0.0131226,-0.00152588,
-0.0192261,-0.00274658,
-0.0234985,-0.00457764,
-0.0238037,-0.00457764,
-0.0222778,-0.00518799,
-0.0186157,-0.00518799,
-0.0146484,-0.00335693,
-0.00823975,-0.0012207,
-0.00213623,-0.000915527,
0.00274658,-0.0012207,
0.00457764,-0.000305176,
0.00701904,0.000610352,
0.00823975,0.00183105,
0.00762939,0.0012207,
0.00579834,0.000305176,
0.00610352,0,
0.00701904,-0.00152588,
0.00701904,0,
0.0088501,0.00152588,
0.00946045,0.00183105,
0.0088501,0.00213623,
0.00671387,0.00244141,
0.00823975,0.00183105,
0.00793457,0.000305176,
0.00823975,0.000305176,
0.0088501,-0.000610352,
0.00823975,0.000305176,
0.00610352,0.0012207,
0.00549316,0.00335693,
0.00457764,0.00579834,
0.00396729,0.00610352,
0.00152588,0.00518799,
0.000305176,0.00610352,
0.000305176,0.00671387,
0.000305176,0.00640869,
0.00152588,0.00671387,
0.00244141,0.00610352,
0.00183105,0.00518799,
0.00305176,0.00457764,
0.0012207,0.00488281,
0.000915527,0.00396729,
0.00152588,0.00427246,
0.00183105,0.00335693,
0.00213623,0.00457764,
0.000305176,0.00549316,
0.000610352,0.00549316,
-0.0012207,0.00488281,
-0.00274658,0.00518799,
-0.00274658,0.00335693,
-0.00274658,-0.000305176,
-0.00366211,-0.000305176,
-0.00366211,-0.00183105,
-0.00244141,-0.00396729,
-0.00152588,-0.00457764,
-0.00274658,-0.00366211,
-0.0012207,-0.00244141,
-0.00213623,-0.00457764,
-0.00213623,-0.00427246,
-0.00335693,-0.00518799,
-0.00457764,-0.00427246,
-0.00488281,-0.00366211,
-0.00244141,-0.0012207,
-0.00183105,-0.00152588,
-0.00305176,-0.0012207,
